clustering_method,pca_n_components,num_clusters,standardize,sum_cluster_values,all_cluster_values,accuracy_total,accuracy_Type_A,accuracy_Type_B,accuracy_Type_C,accuracy_Type_D,accuracy_Type_E,accuracy_Type_F,accuracy_Type_G,accuracy_Type_H,accuracy_Type_J
gmm,False,61,True,4036,7520,0.5367021276595745,0.6813793103448276,0.4750219106047327,0.37373737373737376,0.5976761074800291,0.24257425742574257,0.0,0.0,0.29850746268656714,0.6685878962536023
gmm,10,78,False,4035,7520,0.5365691489361702,0.716551724137931,0.4794040315512708,0.39113355780022446,0.5570079883805374,0.15841584158415842,0.0,0.0,0.21641791044776118,0.6657060518731989
gmm,3,78,False,4033,7520,0.5363031914893617,0.7579310344827587,0.4198071866783523,0.34736251402918067,0.6129266521423384,0.3118811881188119,0.0,0.0,0.0,0.6693083573487032
gmm,20,85,False,4031,7520,0.5360372340425532,0.7227586206896551,0.3908851884312007,0.42424242424242425,0.5882352941176471,0.16831683168316833,0.0,0.0,0.34328358208955223,0.6419308357348703
gmm,False,57,True,4030,7520,0.535904255319149,0.6924137931034483,0.49693251533742333,0.3507295173961841,0.5998547567175018,0.25742574257425743,0.0,0.0,0.29850746268656714,0.659942363112392
gmm,False,100,True,4029,7520,0.5357712765957446,0.7213793103448276,0.4776511831726556,0.388327721661055,0.5272331154684096,0.24257425742574257,0.0,0.0,0.22388059701492538,0.6779538904899135
gmm,10,72,False,4029,7520,0.5357712765957446,0.7151724137931035,0.4934268185801928,0.3765432098765432,0.5708061002178649,0.09405940594059406,0.0,0.0,0.21641791044776118,0.6657060518731989
gmm,False,67,False,4028,7520,0.5356382978723404,0.6875862068965517,0.3978965819456617,0.4668911335578002,0.5461147421931736,0.31683168316831684,0.0,0.0,0.15671641791044777,0.654178674351585
gmm,4,67,False,4028,7520,0.5356382978723404,0.6958620689655173,0.4189307624890447,0.40235690235690236,0.6172839506172839,0.1485148514851485,0.0,0.0,0.0,0.6801152737752162
gmm,4,85,False,4026,7520,0.535372340425532,0.6682758620689655,0.4723926380368098,0.42592592592592593,0.5737109658678287,0.20297029702970298,0.0,0.0,0.0,0.6685878962536023
gmm,False,85,True,4025,7520,0.5352393617021277,0.7041379310344827,0.5223488168273445,0.37373737373737376,0.5265068990559186,0.31683168316831684,0.0,0.0,0.26865671641791045,0.6606628242074928
gmm,False,57,False,4024,7520,0.5351063829787234,0.6179310344827587,0.4767747589833479,0.36363636363636365,0.6514161220043573,0.27722772277227725,0.0,0.0,0.27611940298507465,0.6815561959654178
gmm,False,92,True,4020,7520,0.5345744680851063,0.6868965517241379,0.5223488168273445,0.3681257014590348,0.533042846768337,0.3415841584158416,0.0,0.0,0.26119402985074625,0.6729106628242075
gmm,20,67,False,4020,7520,0.5345744680851063,0.6813793103448276,0.49956178790534617,0.4163860830527497,0.5562817719680465,0.1188118811881188,0.0,0.0,0.27611940298507465,0.6433717579250721
gmm,20,72,False,4019,7520,0.5344414893617021,0.6710344827586207,0.50920245398773,0.43490460157126826,0.5504720406681191,0.1188118811881188,0.0,0.0,0.208955223880597,0.6340057636887608
gmm,20,92,False,4018,7520,0.5343085106382979,0.7124137931034483,0.4548641542506573,0.3978675645342312,0.5461147421931736,0.26732673267326734,0.0,0.0,0.34328358208955223,0.6520172910662824
gmm,False,45,False,4015,7520,0.5339095744680851,0.6151724137931035,0.4899211218229623,0.3613916947250281,0.6470588235294118,0.23267326732673269,0.0,0.0,0.3208955223880597,0.6765129682997119
gmm,20,78,False,4015,7520,0.5339095744680851,0.7289655172413793,0.38212094653812445,0.4483726150392817,0.5584604212055192,0.18316831683168316,0.0,0.0,0.20149253731343283,0.6412103746397695
gmm,3,72,False,4014,7520,0.5337765957446808,0.7096551724137931,0.4688869412795793,0.335016835016835,0.6274509803921569,0.3564356435643564,0.0,0.0,0.0,0.6606628242074928
gmm,4,61,False,4014,7520,0.5337765957446808,0.6958620689655173,0.4163014899211218,0.42312008978675647,0.6049382716049383,0.08415841584158416,0.0,0.0,0.0,0.6671469740634006
gmm,5,61,False,4011,7520,0.533377659574468,0.7241379310344828,0.4268185801928133,0.3765432098765432,0.6310820624546115,0.15841584158415842,0.0,0.0,0.23134328358208955,0.627521613832853
gmm,10,100,True,4011,7520,0.533377659574468,0.723448275862069,0.4075372480280456,0.40235690235690236,0.6230936819172114,0.019801980198019802,0.0,0.0,0.14925373134328357,0.6469740634005764
gmm,5,100,True,4011,7520,0.533377659574468,0.6779310344827586,0.406660823838738,0.4377104377104377,0.6129266521423384,0.09900990099009901,0.0,0.0,0.17164179104477612,0.6462536023054755
gmm,10,85,True,4010,7520,0.5332446808510638,0.723448275862069,0.4224364592462752,0.4107744107744108,0.5925925925925926,0.16336633663366337,0.0,0.0,0.022388059701492536,0.6448126801152738
gmm,4,78,False,4008,7520,0.5329787234042553,0.6751724137931034,0.4566170026292726,0.40347923681257014,0.6245461147421931,0.0891089108910891,0.0,0.0,0.0,0.6563400576368876
gmm,5,67,False,4005,7520,0.5325797872340425,0.7551724137931034,0.4127957931638913,0.3939393939393939,0.6318082788671024,0.15841584158415842,0.0,0.0,0.23134328358208955,0.579250720461095
gmm,4,57,False,4005,7520,0.5325797872340425,0.6972413793103448,0.4233128834355828,0.44668911335578004,0.5599128540305011,0.08415841584158416,0.0,0.0,0.0,0.6678674351585014
gmm,2,100,False,4003,7520,0.5323138297872341,0.6724137931034483,0.45924627519719546,0.4068462401795735,0.5904139433551199,0.08415841584158416,0.0,0.0,0.05970149253731343,0.6779538904899135
gmm,4,48,False,4001,7520,0.5320478723404255,0.6958620689655173,0.4566170026292726,0.37093153759820424,0.6107480029048656,0.15841584158415842,0.0,0.0,0.0,0.6750720461095101
gmm,3,67,False,4001,7520,0.5320478723404255,0.7089655172413794,0.4539877300613497,0.377665544332211,0.6252723311546841,0.16336633663366337,0.0,0.0,0.0,0.6397694524495677
gmm,2,92,False,4000,7520,0.5319148936170213,0.6724137931034483,0.44347063978965817,0.4219977553310887,0.5816993464052288,0.08415841584158416,0.0,0.0,0.05970149253731343,0.6779538904899135
gmm,20,100,True,3997,7520,0.5315159574468085,0.7213793103448276,0.36459246275197194,0.3978675645342312,0.6027596223674655,0.24257425742574257,0.0,0.0,0.41044776119402987,0.6426512968299711
gmm,10,61,False,3996,7520,0.5313829787234042,0.716551724137931,0.4829097283085013,0.3877665544332211,0.5352214960058097,0.14356435643564355,0.0,0.0,0.21641791044776118,0.6628242074927954
gmm,10,52,False,3996,7520,0.5313829787234042,0.7255172413793104,0.44960560911481157,0.43153759820426485,0.5199709513435004,0.0,0.0,0.0,0.0,0.6815561959654178
gmm,10,57,False,3995,7520,0.53125,0.716551724137931,0.48378615249780893,0.3894500561167228,0.5344952795933188,0.13861386138613863,0.0,0.0,0.0,0.6815561959654178
gmm,10,72,True,3994,7520,0.5311170212765958,0.7227586206896551,0.4662576687116564,0.3653198653198653,0.5998547567175018,0.16336633663366337,0.0,0.0,0.06716417910447761,0.6448126801152738
gmm,10,78,True,3993,7520,0.5309840425531915,0.723448275862069,0.4574934268185802,0.40852974186307517,0.5403050108932462,0.2722772277227723,0.0,0.0,0.0,0.6448126801152738
gmm,3,57,False,3992,7520,0.5308510638297872,0.7089655172413794,0.48729184925503943,0.37542087542087543,0.5933188090050835,0.14356435643564355,0.0,0.0,0.0,0.6433717579250721
gmm,10,67,True,3992,7520,0.5308510638297872,0.7296551724137931,0.4566170026292726,0.3681257014590348,0.5998547567175018,0.16336633663366337,0.0,0.0,0.06716417910447761,0.6404899135446686
gmm,False,52,True,3992,7520,0.5308510638297872,0.7386206896551725,0.44434706397896584,0.32491582491582494,0.59840232389252,0.24257425742574257,0.0,0.0,0.29850746268656714,0.6642651296829971
gmm,False,52,False,3991,7520,0.530718085106383,0.6179310344827587,0.5056967572304996,0.36307519640852975,0.6289034132171387,0.2524752475247525,0.0,0.0,0.27611940298507465,0.6606628242074928
gmm,4,52,False,3989,7520,0.5304521276595745,0.6972413793103448,0.49605609114811566,0.35970819304152635,0.5918663761801016,0.08415841584158416,0.0,0.0,0.014925373134328358,0.6750720461095101
gmm,3,61,False,3989,7520,0.5304521276595745,0.7089655172413794,0.4758983347940403,0.36980920314253646,0.616557734204793,0.08415841584158416,0.0,0.0,0.0,0.6433717579250721
gmm,3,41,False,3987,7520,0.5301861702127659,0.6613793103448276,0.4601226993865031,0.3479236812570146,0.6463326071169209,0.14356435643564355,0.0,0.0,0.0,0.6945244956772334
gmm,3,48,False,3986,7520,0.5300531914893617,0.7089655172413794,0.48816827344434705,0.3288439955106622,0.6368917937545389,0.14356435643564355,0.0,0.0,0.0,0.6548991354466859
gmm,20,52,False,3986,7520,0.5300531914893617,0.68,0.4785276073619632,0.45454545454545453,0.5127087872185911,0.0,0.0,0.0,0.208955223880597,0.6556195965417867
gmm,20,38,False,3984,7520,0.5297872340425532,0.7062068965517241,0.4171779141104294,0.44332210998877664,0.5482933914306464,0.039603960396039604,0.0,0.0,0.0,0.670749279538905
gmm,20,57,False,3984,7520,0.5297872340425532,0.68,0.4741454864154251,0.4371492704826038,0.5395787944807553,0.034653465346534656,0.0,0.0,0.1865671641791045,0.6505763688760807
gmm,20,61,False,3982,7520,0.5295212765957447,0.68,0.46275197195442597,0.4483726150392817,0.5374001452432825,0.0,0.0,0.0,0.0,0.6693083573487032
gmm,3,35,False,3981,7520,0.5293882978723404,0.6613793103448276,0.45924627519719546,0.3221099887766554,0.664488017429194,0.14356435643564355,0.0,0.0,0.0,0.7060518731988472
gmm,20,48,False,3980,7520,0.5292553191489362,0.68,0.4758983347940403,0.42536475869809204,0.533042846768337,0.08415841584158416,0.0,0.0,0.208955223880597,0.6585014409221902
