clustering_method,pca_n_components,num_clusters,standardize,sum_cluster_values,all_cluster_values,accuracy_total,accuracy_Type_A,accuracy_Type_B,accuracy_Type_C,accuracy_Type_D,accuracy_Type_E,accuracy_Type_F,accuracy_Type_G,accuracy_Type_H,accuracy_Type_J
kmeans,20,100,False,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,4,100,False,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,2,100,True,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,False,100,True,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,2,100,False,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,10,100,True,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,5,100,False,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,False,100,False,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,3,100,True,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,20,100,True,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,5,100,True,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,10,100,False,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,4,100,True,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,3,100,False,1992,7520,0.2648936170212766,0.000689655172413793,0.0,0.9304152637485971,0.20116194625998549,0.2376237623762376,0.3333333333333333,0.058823529411764705,0.0,0.001440922190201729
kmeans,4,92,False,1949,7520,0.2591755319148936,0.000689655172413793,0.0,0.9472502805836139,0.15250544662309368,0.21287128712871287,0.3333333333333333,0.058823529411764705,0.0,0.0007204610951008645
kmeans,2,92,True,1949,7520,0.2591755319148936,0.000689655172413793,0.0,0.9472502805836139,0.15250544662309368,0.21287128712871287,0.3333333333333333,0.058823529411764705,0.0,0.0007204610951008645
kmeans,False,85,True,1949,7520,0.2591755319148936,0.0,0.0,0.9472502805836139,0.1532316630355846,0.21287128712871287,0.3333333333333333,0.058823529411764705,0.0,0.0007204610951008645
kmeans,False,92,True,1949,7520,0.2591755319148936,0.000689655172413793,0.0,0.9472502805836139,0.15250544662309368,0.21287128712871287,0.3333333333333333,0.058823529411764705,0.0,0.0007204610951008645
kmeans,20,92,False,1949,7520,0.2591755319148936,0.000689655172413793,0.0,0.9472502805836139,0.15250544662309368,0.21287128712871287,0.3333333333333333,0.058823529411764705,0.0,0.0007204610951008645
kmeans,20,85,False,1949,7520,0.2591755319148936,0.0,0.0,0.9472502805836139,0.1532316630355846,0.21287128712871287,0.3333333333333333,0.058823529411764705,0.0,0.0007204610951008645
kmeans,10,92,True,1949,7520,0.2591755319148936,0.000689655172413793,0.0,0.9472502805836139,0.15250544662309368,0.21287128712871287,0.3333333333333333,0.058823529411764705,0.0,0.0007204610951008645
kmeans,3,92,False,1949,7520,0.2591755319148936,0.000689655172413793,0.0,0.9472502805836139,0.15250544662309368,0.21287128712871287,0.3333333333333333,0.058823529411764705,0.0,0.0007204610951008645
kmeans,20,85,True,1949,7520,0.2591755319148936,0.0,0.0,0.9472502805836139,0.1532316630355846,0.21287128712871287,0.3333333333333333,0.058823529411764705,0.0,0.0007204610951008645
kmeans,2,85,True,1949,7520,0.2591755319148936,0.0,0.0,0.9472502805836139,0.1532316630355846,0.21287128712871287,0.3333333333333333,0.058823529411764705,0.0,0.0007204610951008645
