clustering_method,pca_n_components,num_clusters,standardize,sum_cluster_values,all_cluster_values,accuracy_total,accuracy_Type_A,accuracy_Type_B,accuracy_Type_C,accuracy_Type_D,accuracy_Type_E,accuracy_Type_F,accuracy_Type_G,accuracy_Type_H,accuracy_Type_J
gmm,5,78,True,3822,7520,0.5082446808510638,0.5248275862068965,0.677475898334794,0.3372615039281706,0.5679012345679012,0.3465346534653465,0.25,0.0,0.29850746268656714,0.5706051873198847
gmm,5,72,True,3821,7520,0.5081117021276595,0.5255172413793103,0.677475898334794,0.3271604938271605,0.5751633986928104,0.3910891089108911,0.25,0.0,0.31343283582089554,0.5670028818443804
gmm,2,48,True,3818,7520,0.5077127659574469,0.7151724137931035,0.4899211218229623,0.29854096520763185,0.6100217864923747,0.2524752475247525,0.0,0.0,0.022388059701492536,0.5734870317002881
gmm,10,92,False,3818,7520,0.5077127659574469,0.9441379310344827,0.0008764241893076249,0.4298540965207632,0.5533769063180828,0.16831683168316833,0.0,0.0,0.23880597014925373,0.6152737752161384
gmm,2,45,True,3817,7520,0.5075797872340425,0.7151724137931035,0.4890446976336547,0.29797979797979796,0.5962236746550472,0.3316831683168317,0.0,0.0,0.022388059701492536,0.5763688760806917
gmm,2,41,True,3816,7520,0.5074468085106383,0.7151724137931035,0.4890446976336547,0.29741863075196406,0.5962236746550472,0.3316831683168317,0.0,0.0,0.022388059701492536,0.5763688760806917
gmm,20,100,True,3813,7520,0.5070478723404256,0.6731034482758621,0.5495179666958808,0.4820426487093154,0.3936092955700799,0.2871287128712871,0.16666666666666666,0.0,0.04477611940298507,0.5353025936599424
gmm,10,85,False,3812,7520,0.5069148936170212,0.9441379310344827,0.0008764241893076249,0.43602693602693604,0.5410312273057372,0.16831683168316833,0.0,0.0,0.23880597014925373,0.6152737752161384
gmm,10,72,False,3810,7520,0.5066489361702128,0.9441379310344827,0.0008764241893076249,0.43602693602693604,0.5337690631808278,0.16831683168316833,0.0,0.0,0.29850746268656714,0.6152737752161384
gmm,10,78,False,3810,7520,0.5066489361702128,0.9441379310344827,0.0008764241893076249,0.43602693602693604,0.5337690631808278,0.16831683168316833,0.0,0.0,0.29850746268656714,0.6152737752161384
gmm,10,67,True,3807,7520,0.50625,0.5248275862068965,0.3987730061349693,0.5785634118967452,0.41466957153231665,0.35148514851485146,0.08333333333333333,0.0,0.06716417910447761,0.654178674351585
gmm,10,67,False,3803,7520,0.5057180851063829,0.9441379310344827,0.0008764241893076249,0.4276094276094276,0.5337690631808278,0.16831683168316833,0.0,0.0,0.29850746268656714,0.6210374639769453
gmm,10,61,False,3796,7520,0.5047872340425532,0.9441379310344827,0.0008764241893076249,0.4270482603815937,0.5294117647058824,0.16831683168316833,0.0,0.0,0.29850746268656714,0.6210374639769453
gmm,2,100,False,3792,7520,0.5042553191489362,0.8434482758620689,0.32690622261174407,0.234006734006734,0.5875090777051561,0.034653465346534656,0.0,0.0,0.27611940298507465,0.6671469740634006
gmm,2,92,False,3791,7520,0.504122340425532,0.8434482758620689,0.0,0.44276094276094274,0.5875090777051561,0.034653465346534656,0.0,0.0,0.27611940298507465,0.6671469740634006
gmm,4,100,False,3789,7520,0.5038563829787234,0.9020689655172414,0.0,0.38271604938271603,0.5911401597676107,0.1782178217821782,0.0,0.058823529411764705,0.21641791044776118,0.6613832853025937
