clustering_method,pca_n_components,num_clusters,standardize,sum_cluster_values,all_cluster_values,accuracy_total,accuracy_Type_A,accuracy_Type_B,accuracy_Type_C,accuracy_Type_D,accuracy_Type_E,accuracy_Type_F,accuracy_Type_G,accuracy_Type_H,accuracy_Type_J
kmeans,20,100,False,3200,7520,0.425531914893617,0.8537931034482759,0.007887817703768623,0.13411896745230079,0.7443718228031954,0.1485148514851485,0.16666666666666666,0.029411764705882353,0.0,0.47262247838616717
kmeans,2,100,True,3200,7520,0.425531914893617,0.8537931034482759,0.007887817703768623,0.13411896745230079,0.7443718228031954,0.1485148514851485,0.16666666666666666,0.029411764705882353,0.0,0.47262247838616717
kmeans,4,100,False,3200,7520,0.425531914893617,0.8537931034482759,0.007887817703768623,0.13411896745230079,0.7443718228031954,0.1485148514851485,0.16666666666666666,0.029411764705882353,0.0,0.47262247838616717
kmeans,4,100,True,3200,7520,0.425531914893617,0.8537931034482759,0.007887817703768623,0.13411896745230079,0.7443718228031954,0.1485148514851485,0.16666666666666666,0.029411764705882353,0.0,0.47262247838616717
kmeans,20,100,True,3200,7520,0.425531914893617,0.8537931034482759,0.007887817703768623,0.13411896745230079,0.7443718228031954,0.1485148514851485,0.16666666666666666,0.029411764705882353,0.0,0.47262247838616717
kmeans,False,100,True,3200,7520,0.425531914893617,0.8537931034482759,0.007887817703768623,0.13411896745230079,0.7443718228031954,0.1485148514851485,0.16666666666666666,0.029411764705882353,0.0,0.47262247838616717
kmeans,5,100,False,3200,7520,0.425531914893617,0.8537931034482759,0.007887817703768623,0.13411896745230079,0.7443718228031954,0.1485148514851485,0.16666666666666666,0.029411764705882353,0.0,0.47262247838616717
kmeans,False,100,False,3200,7520,0.425531914893617,0.8537931034482759,0.007887817703768623,0.13411896745230079,0.7443718228031954,0.1485148514851485,0.16666666666666666,0.029411764705882353,0.0,0.47262247838616717
kmeans,5,100,True,3200,7520,0.425531914893617,0.8537931034482759,0.007887817703768623,0.13411896745230079,0.7443718228031954,0.1485148514851485,0.16666666666666666,0.029411764705882353,0.0,0.47262247838616717
kmeans,3,100,False,3200,7520,0.425531914893617,0.8537931034482759,0.007887817703768623,0.13411896745230079,0.7443718228031954,0.1485148514851485,0.16666666666666666,0.029411764705882353,0.0,0.47262247838616717
